content;content_language;content_ori;sentiment
Que diversão! Bucketfuls de bom humor, ótimo elenco química Skelton / Powell / Lahr / OBrien, trilha sonora dinamite-driven Dorsey! Os números de dança da senhorita Powells têm um caráter individual e um toque especial excepcionais. Sua aparência de filme mais vencedora.;pt-br;Que diversão! Bucketfuls de bom humor, ótimo elenco química Skelton / Powell / Lahr / OBrien, trilha sonora dinamite-driven Dorsey! Os números de dança da senhorita Powells têm um caráter individual e um toque especial excepcionais. Sua aparência de filme mais vencedora.;Positive
Nem mesmo os Beatles puderam escrever músicas que todos gostassem, e embora Walter Hill não seja um mop-top, ele é incomparável quando se trata de filmes de ação instigantes. Os anos noventa chegaram e as plataformas sociais estavam mudando em música e cinema, o surgimento da estrela de cinema do Rapper estava em pleno andamento, a atuação ficou em segundo plano para cada homem dominar o sotaque regional e a atuação transparente. Este foi um dos muitos filmes de ice-t que eu vi quando criança e amei, só para assisti-los mais tarde e me encolher. Bill Paxton e William Sadler são bombeiros com vidas básicas até que um inquilino em chamas prestes a pegar fogo com um mapa com implicações douradas. Eu entrego a Walter para rapidamente e ordenadamente configurar os personagens principais e localização. Mas eu culpo todos os envolvidos por produzir performances do Lame-o. O gelo e o cubo devem ter ficado muito quentes neste momento, e embora eu tenha gostado de suas carreiras como rappers, na minha opinião, eles ficaram insatisfeitos com esse filme. São cerca de noventa minutos de um cara ridiculamente virando as costas para o outro cara até o ponto em que você se encontra bloqueado em múltiplos estados de descrença. Agora este é um filme, não é um documentário, então eu não vou perder meu tempo recontando todas as reviravoltas estúpidas neste filme, mas havia muitos, e eles não levaram a lugar nenhum. Eu tenho a sensação de ver isso que todo mundo no set era sordeto de confuso e apenas jogando as coisas fora do punho. Há duas coisas que eu ainda gosto, uma envolve uma cena com uma agulha e a outra é uma enorme pistola 45 Sadlers. Bottom line este filme é como pizza de dominó. Sim, eu comeria se estivesse com fome e eu não estivesse com vontade de cozinhar, mas eu estou bem ciente que tem gosto de porcaria. 3 estrelas, meh.;pt-br;Nem mesmo os Beatles puderam escrever músicas que todos gostassem, e embora Walter Hill não seja um mop-top, ele é incomparável quando se trata de filmes de ação instigantes. Os anos noventa chegaram e as plataformas sociais estavam mudando em música e cinema, o surgimento da estrela de cinema do Rapper estava em pleno andamento, a atuação ficou em segundo plano para cada homem dominar o sotaque regional e a atuação transparente. Este foi um dos muitos filmes de ice-t que eu vi quando criança e amei, só para assisti-los mais tarde e me encolher. Bill Paxton e William Sadler são bombeiros com vidas básicas até que um inquilino em chamas prestes a pegar fogo com um mapa com implicações douradas. Eu entrego a Walter para rapidamente e ordenadamente configurar os personagens principais e localização. Mas eu culpo todos os envolvidos por produzir performances do Lame-o. O gelo e o cubo devem ter ficado muito quentes neste momento, e embora eu tenha gostado de suas carreiras como rappers, na minha opinião, eles ficaram insatisfeitos com esse filme. São cerca de noventa minutos de um cara ridiculamente virando as costas para o outro cara até o ponto em que você se encontra bloqueado em múltiplos estados de descrença. Agora este é um filme, não é um documentário, então eu não vou perder meu tempo recontando todas as reviravoltas estúpidas neste filme, mas havia muitos, e eles não levaram a lugar nenhum. Eu tenho a sensação de ver isso que todo mundo no set era sordeto de confuso e apenas jogando as coisas fora do punho. Há duas coisas que eu ainda gosto, uma envolve uma cena com uma agulha e a outra é uma enorme pistola 45 Sadlers. Bottom line este filme é como pizza de dominó. Sim, eu comeria se estivesse com fome e eu não estivesse com vontade de cozinhar, mas eu estou bem ciente que tem gosto de porcaria. 3 estrelas, meh.;Negative
Uau, eu odiei esse filme. O assunto deveria ter resultado em um filme realmente bom, e o ator principal era definitivamente sensível e talentoso o suficiente para lidar com o assunto, mas o roteiro - se é que havia um roteiro - é uma bagunça. Isso é menos um filme do que uma apresentação de slides aleatória que não leva a nada. Eu diria que ele não vai a lugar nenhum rápido, exceto que, na verdade, são os 81 minutos mais longos que você já sentou. Como eu mencionei, o ator principal é bom. Assim é Faruza Baulk SP ?, como sua mãe às vezes áspera, mas que acaba amando e aceitando. Os cineastas têm muito a responder por aqui, porque isso é uma bagunça. É uma pena, porque eu realmente queria gostar desse filme, mas é basicamente um filme que nunca foi feito. Pule este aqui - nem valeu a pena os US $ 6 que eu paguei por pay-per-view.;pt-br;Uau, eu odiei esse filme. O assunto deveria ter resultado em um filme realmente bom, e o ator principal era definitivamente sensível e talentoso o suficiente para lidar com o assunto, mas o roteiro - se é que havia um roteiro - é uma bagunça. Isso é menos um filme do que uma apresentação de slides aleatória que não leva a nada. Eu diria que ele não vai a lugar nenhum rápido, exceto que, na verdade, são os 81 minutos mais longos que você já sentou. Como eu mencionei, o ator principal é bom. Assim é Faruza Baulk SP ?, como sua mãe às vezes áspera, mas que acaba amando e aceitando. Os cineastas têm muito a responder por aqui, porque isso é uma bagunça. É uma pena, porque eu realmente queria gostar desse filme, mas é basicamente um filme que nunca foi feito. Pule este aqui - nem valeu a pena os US $ 6 que eu paguei por pay-per-view.;Negative
Kurt Russell é tão crível e a ação tão sem parar que é preciso pensar nisso depois para perceber que havia temas importantes de honestidade para a bondade [superar o medo do Estranho, aprender a superar o condicionamento inicial, a força que o amor e a amizade pode trazer, etc.] no enredo. Isso é muito raro para um filme de ação que até mesmo eu [que acha que a maioria dos A / A é pap violenta] gostou do filme e recomendou para todos os caras que eu conheço ..... é uma vergonha que este foi esquecido porque direitos que deveria ter sido um dos maiores sucessos de bilheteria de ação-aventura - tem algo para todos, sem prejudicar a credulidade ou perder os momentos de ação quase ininterruptos. Temo que a resposta para não se tornar um sucesso esteja no fato de que os adultos não foram vê-lo. Qualquer um com menos de 20 anos provavelmente não só viu mais ação violenta em seus videogames, mas provavelmente não iria pegar a beleza multi-camadas e multi-temática ou não se importar com isso. Este filme pode converter qualquer pessoa que evita a A / A como violência sem sentido. Se um cara pega a sua dama [ou a aluga ou vê numa lista de TV a cabo] para ver esse filme, é muito mais provável que ela vá com ele para outros filmes de ação.;pt-br;Kurt Russell é tão crível e a ação tão sem parar que é preciso pensar nisso depois para perceber que havia temas importantes de honestidade para a bondade [superar o medo do Estranho, aprender a superar o condicionamento inicial, a força que o amor e a amizade pode trazer, etc.] no enredo. Isso é muito raro para um filme de ação que até mesmo eu [que acha que a maioria dos A / A é pap violenta] gostou do filme e recomendou para todos os caras que eu conheço ..... é uma vergonha que este foi esquecido porque direitos que deveria ter sido um dos maiores sucessos de bilheteria de ação-aventura - tem algo para todos, sem prejudicar a credulidade ou perder os momentos de ação quase ininterruptos. Temo que a resposta para não se tornar um sucesso esteja no fato de que os adultos não foram vê-lo. Qualquer um com menos de 20 anos provavelmente não só viu mais ação violenta em seus videogames, mas provavelmente não iria pegar a beleza multi-camadas e multi-temática ou não se importar com isso. Este filme pode converter qualquer pessoa que evita a A / A como violência sem sentido. Se um cara pega a sua dama [ou a aluga ou vê numa lista de TV a cabo] para ver esse filme, é muito mais provável que ela vá com ele para outros filmes de ação.;Positive
"Dos dois filmes de Slaughter, este é o melhor e mesmo que dificilmente seja uma lista de Schindlers em complexidade, é muito engraçado. Todos os homens são os guloseimas ou os vilões e as mulheres são todas apenas Hos e emocionalmente necessitadas, por exemplo, Slaughters Girl. Também é muito engraçado eo The Pro tem que ser o mais engraçado cafetão de todos os tempos, você simplesmente não consegue o suficiente desses chapéus, ternos roxos, correntes de ouro e jive patois para sempre. A melhor parte é onde ele tem o Harem ao seu redor ""DO YOU BITCH UNNASTAN"". Tudo sobre ele é maior que a vida e é uma reminiscência de Morris Day em Purple Rain. Jim Brown também prova que ele é um idiota particular para todos os filhotes e, novamente, ele chuta o traseiro branco em todas as direções. A cena do carro é muito irrealista que eles sobrevivem ilesos, mas hey este é o cinema. Definitivamente o melhor filme blax e supera Shaft 1971. Até o primeiro filme é muito bom.";pt-br;"Dos dois filmes de Slaughter, este é o melhor e mesmo que dificilmente seja uma lista de Schindlers em complexidade, é muito engraçado. Todos os homens são os guloseimas ou os vilões e as mulheres são todas apenas Hos e emocionalmente necessitadas, por exemplo, Slaughters Girl. Também é muito engraçado eo The Pro tem que ser o mais engraçado cafetão de todos os tempos, você simplesmente não consegue o suficiente desses chapéus, ternos roxos, correntes de ouro e jive patois para sempre. A melhor parte é onde ele tem o Harem ao seu redor ""DO YOU BITCH UNNASTAN"". Tudo sobre ele é maior que a vida e é uma reminiscência de Morris Day em Purple Rain. Jim Brown também prova que ele é um idiota particular para todos os filhotes e, novamente, ele chuta o traseiro branco em todas as direções. A cena do carro é muito irrealista que eles sobrevivem ilesos, mas hey este é o cinema. Definitivamente o melhor filme blax e supera Shaft 1971. Até o primeiro filme é muito bom.";Positive
"Rock Star é um filme ""legal"". Todo mundo é legal. Mesmo os caras que não são legais, são legais. Chris é um cara legal, que aprende uma lição de vida. Ele volta para sua namorada Emily, que também é legal. É um bom filme, apesar de toda a gentileza. Talvez eu esteja acostumado com toda a angústia da música do X Gen. De certa forma, o filme era uma caricatura de Rock Stars e não muito forte o suficiente para ser acreditável. A atuação de Mark Wahlbergs é muito boa. Jennifer Aniston desempenhou bem seu papel, mas foi descomplicada. Ela era uma garota legal. Vá ver isso. Se você já esteve em um show de rock ou viu Spinal Tap, vá ver.";pt-br;"Rock Star é um filme ""legal"". Todo mundo é legal. Mesmo os caras que não são legais, são legais. Chris é um cara legal, que aprende uma lição de vida. Ele volta para sua namorada Emily, que também é legal. É um bom filme, apesar de toda a gentileza. Talvez eu esteja acostumado com toda a angústia da música do X Gen. De certa forma, o filme era uma caricatura de Rock Stars e não muito forte o suficiente para ser acreditável. A atuação de Mark Wahlbergs é muito boa. Jennifer Aniston desempenhou bem seu papel, mas foi descomplicada. Ela era uma garota legal. Vá ver isso. Se você já esteve em um show de rock ou viu Spinal Tap, vá ver.";Positive
Eu dou a este cinco de 10. Todas as cinco marcas são para Hendrix, que entrega um conjunto muito decente de seu material do último dia. Infelizmente, a qualidade do trabalho e da edição da câmera está se aproximando do terrível! Temos incontáveis ​​fotos de Hendrix, onde ele quase poderia estar fazendo alguma coisa, fazendo xixi, talvez? Nós não vemos as mãos dele na guitarra, esse é o ponto! Também foram dadas muitas fotos de Hendrix por trás? Parece haver três câmeras no Hendrix, mas os tolos amadores operam todos eles. O cara na frente de Hendrix parece ansioso para desviar o foco preguiçosamente do palco, como se Hendrix na guitarra fosse uma mera distração. Enquanto o cara por trás está mais empenhado em zerar alguns filhotes nas barracas do que realmente documentar o incrível trabalho de guitarra que está sangrando os amplificadores a gravação de som é boa graças a Wally Heider Intercalados nas faixas há clipes de perdedores de estudantes protestando contra o Vietnã etc. em faixas como Machine Gun, completo desperdício de filme! Se Hendrix tivesse vivido por mais dois anos, Berkeley é uma daquelas coisas que nunca teriam visto a luz do dia no que diz respeito a um lançamento oficial completo. A única jóia que ela contém é o incrível Johnny B Good, mas tudo em um documento visual muito pobre do grande homem e inferior a Woodstock e Isle of Wight.;pt-br;Eu dou a este cinco de 10. Todas as cinco marcas são para Hendrix, que entrega um conjunto muito decente de seu material do último dia. Infelizmente, a qualidade do trabalho e da edição da câmera está se aproximando do terrível! Temos incontáveis ​​fotos de Hendrix, onde ele quase poderia estar fazendo alguma coisa, fazendo xixi, talvez? Nós não vemos as mãos dele na guitarra, esse é o ponto! Também foram dadas muitas fotos de Hendrix por trás? Parece haver três câmeras no Hendrix, mas os tolos amadores operam todos eles. O cara na frente de Hendrix parece ansioso para desviar o foco preguiçosamente do palco, como se Hendrix na guitarra fosse uma mera distração. Enquanto o cara por trás está mais empenhado em zerar alguns filhotes nas barracas do que realmente documentar o incrível trabalho de guitarra que está sangrando os amplificadores a gravação de som é boa graças a Wally Heider Intercalados nas faixas há clipes de perdedores de estudantes protestando contra o Vietnã etc. em faixas como Machine Gun, completo desperdício de filme! Se Hendrix tivesse vivido por mais dois anos, Berkeley é uma daquelas coisas que nunca teriam visto a luz do dia no que diz respeito a um lançamento oficial completo. A única jóia que ela contém é o incrível Johnny B Good, mas tudo em um documento visual muito pobre do grande homem e inferior a Woodstock e Isle of Wight.;Negative
"Cor caramba. Este filme realmente me surpreendeu, pois é uma obra-prima da comédia. Billy Zane é impressionante como o personagem central, e todo mundo consegue interpretá-lo em linha reta o suficiente para que a comédia seja natural e fácil. A trilha sonora é realmente boa, e os cenários são uma alegria de se ver. Eu recomendo que você assista este filme com um monte de amigos, algumas garrafas de sua bebida de escolha, e prepare-se para ser surpreendido e muito entretido. Isso continua tão perfeitamente em obras-primas kitsch como Plan 9 From Outer Space que é no verdadeira tradição do filme ""B"". Mas o que faz mais do que isso é o calibre das pessoas que participaram do filme. Ron Pearlman por exemplo. Ainda me vejo rindo na cena em que Zane desce uma série de degraus sem razão aparente num estilo quase balé. Tudo um pouco louco e melhor para isso.";pt-br;"Cor caramba. Este filme realmente me surpreendeu, pois é uma obra-prima da comédia. Billy Zane é impressionante como o personagem central, e todo mundo consegue interpretá-lo em linha reta o suficiente para que a comédia seja natural e fácil. A trilha sonora é realmente boa, e os cenários são uma alegria de se ver. Eu recomendo que você assista este filme com um monte de amigos, algumas garrafas de sua bebida de escolha, e prepare-se para ser surpreendido e muito entretido. Isso continua tão perfeitamente em obras-primas kitsch como Plan 9 From Outer Space que é no verdadeira tradição do filme ""B"". Mas o que faz mais do que isso é o calibre das pessoas que participaram do filme. Ron Pearlman por exemplo. Ainda me vejo rindo na cena em que Zane desce uma série de degraus sem razão aparente num estilo quase balé. Tudo um pouco louco e melhor para isso.";Positive
"Os esnobes e pseudo-especialistas consideram ""muito longe de De Sicas best"" Os que sofrem de uma grave falta de inocência vão encontrar um problema na conexão com esta obra-prima. De Sica falou de uma maneira muito direta. Sua italianidade não tem o enrolado auto-exame dos modernos cineastas italianos, ou a amarga auto-paródia de Pietro Germi, o pungente agridoce de Mario Monicelli, a solenidade de Visconti ou a fria observação de Antonioni. De Sica nos contou as histórias como um pai sentado na beira da cama de seus filhos antes de irem dormir. Não há tentativa de intelectualizar. Miracolo A Milano e, em menor grau, Il Giudizio Universale são contos de fadas realistas, ou o que hoje chamamos de realismo mágico. O filme é uma joia do começo ao fim e Toto é o tipo de personagem que você aceita com o coração aberto, mas que, naturalmente, requer que você tenha um coração. Cinema em sua forma mais pura. Magnífico.";pt-br;"Os esnobes e pseudo-especialistas consideram ""muito longe de De Sicas best"" Os que sofrem de uma grave falta de inocência vão encontrar um problema na conexão com esta obra-prima. De Sica falou de uma maneira muito direta. Sua italianidade não tem o enrolado auto-exame dos modernos cineastas italianos, ou a amarga auto-paródia de Pietro Germi, o pungente agridoce de Mario Monicelli, a solenidade de Visconti ou a fria observação de Antonioni. De Sica nos contou as histórias como um pai sentado na beira da cama de seus filhos antes de irem dormir. Não há tentativa de intelectualizar. Miracolo A Milano e, em menor grau, Il Giudizio Universale são contos de fadas realistas, ou o que hoje chamamos de realismo mágico. O filme é uma joia do começo ao fim e Toto é o tipo de personagem que você aceita com o coração aberto, mas que, naturalmente, requer que você tenha um coração. Cinema em sua forma mais pura. Magnífico.";Positive
Assisti a este filme tendo realmente gostado da Gregorys Girl há muitos anos. Isso foi bobagem. O enredo era vagamente desagradável, com a professora e seu amigo percorrendo garotas de 14 a 15 anos em saias muito curtas. Comentários anteriores parecem pensar que isso não importa, mas eu achei bastante desagradável. Se você tem filhos na escola, a última coisa que você quer é pensar que todo professor jovem está desejando seus alunos. Ficamos surpresos que o censor deixou passar. Além disso, o filme foi apenas uma perda de tempo. O roteiro era pobre e John Gordon Sinclair estava tentando muito arduamente recriar sua imagem de estudante, um pouco maluco e fora da parede. Por que alguém iria querer cobiçá-lo neste desempenho é incrível. Este filme falhou em todos os aspectos para mim. Terrível. Por favor, não perca seu tempo assistindo. A vida é muito curta;pt-br;Assisti a este filme tendo realmente gostado da Gregorys Girl há muitos anos. Isso foi bobagem. O enredo era vagamente desagradável, com a professora e seu amigo percorrendo garotas de 14 a 15 anos em saias muito curtas. Comentários anteriores parecem pensar que isso não importa, mas eu achei bastante desagradável. Se você tem filhos na escola, a última coisa que você quer é pensar que todo professor jovem está desejando seus alunos. Ficamos surpresos que o censor deixou passar. Além disso, o filme foi apenas uma perda de tempo. O roteiro era pobre e John Gordon Sinclair estava tentando muito arduamente recriar sua imagem de estudante, um pouco maluco e fora da parede. Por que alguém iria querer cobiçá-lo neste desempenho é incrível. Este filme falhou em todos os aspectos para mim. Terrível. Por favor, não perca seu tempo assistindo. A vida é muito curta;Negative
"Este filme tem lugar na década de 1950. De acordo com isso os mortos chamados zumbis surgiram para comer os vivos. No entanto, uma empresa desenvolveu um colar que, quando colocado em volta do pescoço dos zumbis, os torna servos dóceis e perfeitos. A mãe Robinsons Helen Carrie-Anne Moss, o pai Bill Dylan Baker e o filho Timmy KSun Ray contratam um zumbi porque todos em seu bloco já têm um. Tim nomeia o zumbi Fido Billy Connolly e se torna amigo dele. Mas seu pai o odeia e Timmy perde o controle de Fido e as coisas dão errado. Como você pode ver, isso é - entre muitas outras coisas - uma decolagem na série ""Lassie"" com Fido sendo um substituto para Lassie. Timmy foi nomeado por um motivo! Todos os episódios famosos da Lassie são feitos aqui. Meu favorito é quando Timmy envia Fido para buscar ajuda antes que os zumbis o comam! Também é uma sátira dos filmes de Douglas Sirk dos anos 1950, onde tudo é brilhante e colorido - mas segredos obscuros estão dilacerando as pessoas. Os personagens usam MUITO brilhantes roupas da década de 1950. Moss está sempre em um vestido - os móveis, cenários e carros, especialmente, são todos da década de 1950 em cores hiper brilhantes. Mesmo quando o roteiro se torna repetitivo, há sempre algo para se olhar. O roteiro é bom - mas há tantas piadas sobre Lassie que você pode fazer. A melodramatics é meio boba, mas o elenco puxa para fora. Todo mundo aqui é excelente e bem no alvo. Mesmo Connolly como um zumbi sem emoção faz um bom trabalho. Moss é o melhor - jogando cada linha para todo o seu valor --- mas nunca vai ao mar.Isso não é para todos, claro. A sátira pode ser perdida na maioria das pessoas e o sangue é bastante manso. O sangue é feito tão casualmente e com a música alegre tocando nele é difícil levá-lo a sério. Então, para algumas pessoas, isso realmente funcionará. Eu dou um 8.";pt-br;"Este filme tem lugar na década de 1950. De acordo com isso os mortos chamados zumbis surgiram para comer os vivos. No entanto, uma empresa desenvolveu um colar que, quando colocado em volta do pescoço dos zumbis, os torna servos dóceis e perfeitos. A mãe Robinsons Helen Carrie-Anne Moss, o pai Bill Dylan Baker e o filho Timmy KSun Ray contratam um zumbi porque todos em seu bloco já têm um. Tim nomeia o zumbi Fido Billy Connolly e se torna amigo dele. Mas seu pai o odeia e Timmy perde o controle de Fido e as coisas dão errado. Como você pode ver, isso é - entre muitas outras coisas - uma decolagem na série ""Lassie"" com Fido sendo um substituto para Lassie. Timmy foi nomeado por um motivo! Todos os episódios famosos da Lassie são feitos aqui. Meu favorito é quando Timmy envia Fido para buscar ajuda antes que os zumbis o comam! Também é uma sátira dos filmes de Douglas Sirk dos anos 1950, onde tudo é brilhante e colorido - mas segredos obscuros estão dilacerando as pessoas. Os personagens usam MUITO brilhantes roupas da década de 1950. Moss está sempre em um vestido - os móveis, cenários e carros, especialmente, são todos da década de 1950 em cores hiper brilhantes. Mesmo quando o roteiro se torna repetitivo, há sempre algo para se olhar. O roteiro é bom - mas há tantas piadas sobre Lassie que você pode fazer. A melodramatics é meio boba, mas o elenco puxa para fora. Todo mundo aqui é excelente e bem no alvo. Mesmo Connolly como um zumbi sem emoção faz um bom trabalho. Moss é o melhor - jogando cada linha para todo o seu valor --- mas nunca vai ao mar.Isso não é para todos, claro. A sátira pode ser perdida na maioria das pessoas e o sangue é bastante manso. O sangue é feito tão casualmente e com a música alegre tocando nele é difícil levá-lo a sério. Então, para algumas pessoas, isso realmente funcionará. Eu dou um 8.";Positive
Sim grande série de TV cult. Grande atmosfera, roteiro de topo e boas performances fazem deste um candidato de classe A para lançamento em DVD. Este é um seminal tour de force da história da TV australiana e tem essa inesquecível trilha sonora de época com Doug Parkinsons cascalho e fleuma voz vomitando 70s Australiana toda a sua caixa de raios catódicos como um zoom de câmera incrivelmente longa revela a religião da estrada aberta em toda a sua glória antipodeana. Esta é uma lembrança de outra época e não muito distante, e tem o selo orgulhoso da terra poderosa Down Down do início ao fim em toda a sua liberdade crua e grandeza arenosa. Vamos lá ABC! Acompanhe o programa e solte este adorável bebê culto dos anos 70 para que todos se divirtam - ou se divirtam novamente se você tiver a sorte de ter vivido o sonho na época.;pt-br;Sim grande série de TV cult. Grande atmosfera, roteiro de topo e boas performances fazem deste um candidato de classe A para lançamento em DVD. Este é um seminal tour de force da história da TV australiana e tem essa inesquecível trilha sonora de época com Doug Parkinsons cascalho e fleuma voz vomitando 70s Australiana toda a sua caixa de raios catódicos como um zoom de câmera incrivelmente longa revela a religião da estrada aberta em toda a sua glória antipodeana. Esta é uma lembrança de outra época e não muito distante, e tem o selo orgulhoso da terra poderosa Down Down do início ao fim em toda a sua liberdade crua e grandeza arenosa. Vamos lá ABC! Acompanhe o programa e solte este adorável bebê culto dos anos 70 para que todos se divirtam - ou se divirtam novamente se você tiver a sorte de ter vivido o sonho na época.;Positive
"Um clássico injustamente negligenciado, ""Intruder in the Dust"" é um dos grandes filmes da década de 1940 que, infelizmente, caiu na obscuridade. Baseado em uma história de William Faulker e rodado em sua cidade natal de Oxford, Mississippi, ""Intruder"" conta a história de Lucas Beauchamp, interpretado com grande dignidade por Juano Hernandez, um negro injustamente acusado do assassinato de um homem branco local, e um garoto branco Claude Jarman, Jr., que usa essa situação como uma oportunidade de pagar uma dívida anterior a Beauchamp. Ótima atuação, especialmente por dois grandes atores, Porter Hall como o pai do homem morto e Elizabeth Patterson mais conhecida como a Sra. Trumbull em ""I Love Lucy"" como uma velha disposta a se opor às pessoas da cidade para ver que o certo está feito. Este estudo direto, tenso e sincero do fanatismo racial merece ser visto mais.";pt-br;"Um clássico injustamente negligenciado, ""Intruder in the Dust"" é um dos grandes filmes da década de 1940 que, infelizmente, caiu na obscuridade. Baseado em uma história de William Faulker e rodado em sua cidade natal de Oxford, Mississippi, ""Intruder"" conta a história de Lucas Beauchamp, interpretado com grande dignidade por Juano Hernandez, um negro injustamente acusado do assassinato de um homem branco local, e um garoto branco Claude Jarman, Jr., que usa essa situação como uma oportunidade de pagar uma dívida anterior a Beauchamp. Ótima atuação, especialmente por dois grandes atores, Porter Hall como o pai do homem morto e Elizabeth Patterson mais conhecida como a Sra. Trumbull em ""I Love Lucy"" como uma velha disposta a se opor às pessoas da cidade para ver que o certo está feito. Este estudo direto, tenso e sincero do fanatismo racial merece ser visto mais.";Positive
OK, eu não me miro que esta é a vida amorosa típica gay, mas desde quando são romances retos na vida real como eles estão na tela? Este filme é bem equilibrado com comédia e drama e eu me diverti muito. Foi revoltante ver Hugo Weaving interpretar um vendedor de imóveis gay obcecado por sexo que usa as casas de seus clientes para seus encontros com o flamejante Darren Tom Hollander. E tendo-o visto em Priscilla, a rainha do deserto apenas um dia antes, ele é provavelmente um dos atores mais seguros em sua masculinidade. : De qualquer forma, a trama fluiu suavemente e as cenas de ligação masculina foram uma piada. Afirmativo! 8/10;pt-br;OK, eu não me miro que esta é a vida amorosa típica gay, mas desde quando são romances retos na vida real como eles estão na tela? Este filme é bem equilibrado com comédia e drama e eu me diverti muito. Foi revoltante ver Hugo Weaving interpretar um vendedor de imóveis gay obcecado por sexo que usa as casas de seus clientes para seus encontros com o flamejante Darren Tom Hollander. E tendo-o visto em Priscilla, a rainha do deserto apenas um dia antes, ele é provavelmente um dos atores mais seguros em sua masculinidade. : De qualquer forma, a trama fluiu suavemente e as cenas de ligação masculina foram uma piada. Afirmativo! 8/10;Positive
Conheça Sherri ... para uma noite de prazer e terror! Efeitos especiais baratos, linhas de queijo, sim, o original filme 1978 enfermeira Sherri começando Geoffrey Land como Peter Desmond e Jill Jacobson como Sherri Martin e dirigido por Al Adamson.O filme é sobre um espírito antigo mal que possui uma enfermeira em um hospital, então ela começa a matar médicos um por um. A atuação foi boa, mas parte da atuação foi robótica. O enredo foi bom, mas as cenas de sexo foram jogadas lá provavelmente para obter mais visualizações. A direção era ruim, E os efeitos especiais pareciam como o desenho, os efeitos não enganavam ninguém. As cenas de morte eram muito boas, mas o diretor misturava muitas coisas ali que não faziam sentido, como as cenas de sexo, a nudez, o jogador de futebol e muito mais. Filme, mas não o melhor.7 de 10;pt-br;Conheça Sherri ... para uma noite de prazer e terror! Efeitos especiais baratos, linhas de queijo, sim, o original filme 1978 enfermeira Sherri começando Geoffrey Land como Peter Desmond e Jill Jacobson como Sherri Martin e dirigido por Al Adamson.O filme é sobre um espírito antigo mal que possui uma enfermeira em um hospital, então ela começa a matar médicos um por um. A atuação foi boa, mas parte da atuação foi robótica. O enredo foi bom, mas as cenas de sexo foram jogadas lá provavelmente para obter mais visualizações. A direção era ruim, E os efeitos especiais pareciam como o desenho, os efeitos não enganavam ninguém. As cenas de morte eram muito boas, mas o diretor misturava muitas coisas ali que não faziam sentido, como as cenas de sexo, a nudez, o jogador de futebol e muito mais. Filme, mas não o melhor.7 de 10;Positive
"Com um telescópio especial, Dr. Janos Rukh Boris Karloff prova com sucesso que anos atrás um meteorito pousou na África contendo um elemento desconhecido, mas extremamente poderoso. A Dra. BenetBela Lugosi forma uma expedição liderada por Rukh para localizar o elemento. Inesperadamente, Rukh descobre ""Radium X"", ainda mais poderoso que o rádio e muito radioativo, e Karloff fica contaminado e pode matar qualquer um apenas tocando-os. As faíscas realmente voam entre Lugosi e Karloff neste clássico filme de ficção científica durante a era pós-Segunda Guerra Mundial. O diretor Hillyer usou alguns sets da série ""FLASH GORDON"" que estava sendo filmada ao mesmo tempo e também inseriu algumas filmagens de máquinas elétricas de Frankenstein. A Universal manteve o público inconsciente dos efeitos especiais usados ​​neste grande filme clássico. Karloff e Lugosi estavam no seu melhor e ambos gostaram de trabalhar juntos e serão apreciados pelas gerações futuras.";pt-br;"Com um telescópio especial, Dr. Janos Rukh Boris Karloff prova com sucesso que anos atrás um meteorito pousou na África contendo um elemento desconhecido, mas extremamente poderoso. A Dra. BenetBela Lugosi forma uma expedição liderada por Rukh para localizar o elemento. Inesperadamente, Rukh descobre ""Radium X"", ainda mais poderoso que o rádio e muito radioativo, e Karloff fica contaminado e pode matar qualquer um apenas tocando-os. As faíscas realmente voam entre Lugosi e Karloff neste clássico filme de ficção científica durante a era pós-Segunda Guerra Mundial. O diretor Hillyer usou alguns sets da série ""FLASH GORDON"" que estava sendo filmada ao mesmo tempo e também inseriu algumas filmagens de máquinas elétricas de Frankenstein. A Universal manteve o público inconsciente dos efeitos especiais usados ​​neste grande filme clássico. Karloff e Lugosi estavam no seu melhor e ambos gostaram de trabalhar juntos e serão apreciados pelas gerações futuras.";Positive
Este é um dos grandes. Funciona tão bem que dificilmente você percebe a confusão de Dana Andrews, então com 37 anos, como a drogada do refrigerante que vai à guerra e volta quatro anos depois, quando ele teria, no máximo, 25. Mas então, quem mais deveria jogou com ele?;pt-br;Este é um dos grandes. Funciona tão bem que dificilmente você percebe a confusão de Dana Andrews, então com 37 anos, como a drogada do refrigerante que vai à guerra e volta quatro anos depois, quando ele teria, no máximo, 25. Mas então, quem mais deveria jogou com ele?;Positive
Eu fui enganado para alugar este filme pela sua capa impressionante. Infelizmente É facilmente um dos piores filmes já feitos. A julgar pela atuação dos personagens do filme, é mais uma comédia do que um filme de terror. Nenhuma surpresa porque ninguém mais escreveu comentários sobre o imdb. Evite isso.;pt-br;Eu fui enganado para alugar este filme pela sua capa impressionante. Infelizmente É facilmente um dos piores filmes já feitos. A julgar pela atuação dos personagens do filme, é mais uma comédia do que um filme de terror. Nenhuma surpresa porque ninguém mais escreveu comentários sobre o imdb. Evite isso.;Negative
